"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.393560600E-1,-9.571290761E-2,-3.828516230E-2,9.860821724E0,9.861360544E0
5.417423620E-1,-7.657032460E-2,-4.546362907E-2,9.860821724E0,9.861223810E0
5.441286120E-1,-9.092725813E-2,-2.871387079E-2,9.868000984E0,9.868461667E0
5.465148620E-1,-9.332008660E-2,-2.392822690E-2,9.860821724E0,9.861292323E0
5.489011640E-1,-9.332008660E-2,-3.589234129E-2,9.858428955E0,9.858935965E0
5.512874140E-1,-8.374879509E-2,-3.589234129E-2,9.872786522E0,9.873206968E0
5.536736640E-1,-7.896314561E-2,-2.871387079E-2,9.872786522E0,9.873144047E0
5.560599140E-1,-8.374879509E-2,-3.110669367E-2,9.870393753E0,9.870798059E0
5.584461640E-1,-8.614161611E-2,-4.067798331E-2,9.877572060E0,9.878031427E0
5.608324660E-1,-9.332008660E-2,-5.503492057E-2,9.868000984E0,9.868595691E0
5.632187160E-1,-9.332008660E-2,-3.589234129E-2,9.865608215E0,9.866114856E0
5.656049660E-1,-9.332008660E-2,-4.785645381E-2,9.856036186E0,9.856594147E0
5.679912160E-1,-9.571290761E-2,-5.742774159E-2,9.863214493E0,9.863846057E0
5.703775180E-1,-9.332008660E-2,-5.503492057E-2,9.865608215E0,9.866203066E0
5.727637680E-1,-1.004985496E-1,-3.589234129E-2,9.868000984E0,9.868577995E0
5.751500180E-1,-9.571290761E-2,-4.307080805E-2,9.865608215E0,9.866166505E0
5.775362680E-1,-7.896314561E-2,-4.067798331E-2,9.865608215E0,9.866008075E0
5.799225180E-1,-8.853443712E-2,-5.024927482E-2,9.870393753E0,9.870918710E0
5.823088200E-1,-8.614161611E-2,-5.503492057E-2,9.896714211E0,9.897242110E0
5.846950700E-1,-8.853443712E-2,-3.110669367E-2,9.884750366E0,9.885195788E0
5.870813200E-1,-1.004985496E-1,-4.307080805E-2,9.860821724E0,9.861427895E0
5.894675700E-1,-1.100698411E-1,-5.024927482E-2,9.868000984E0,9.868742766E0
