"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.788438630E-1,-6.699903309E-2,-1.363908947E-1,1.005703354E1,1.005818149E1
3.812296440E-1,-6.699903309E-2,-1.292124242E-1,1.003071213E1,1.003176806E1
3.836154260E-1,-5.982056633E-2,-1.316052526E-1,9.990034103E0,9.991080013E0
3.860012070E-1,-5.264209956E-2,-1.555334777E-1,9.968499184E0,9.969851445E0
3.883869880E-1,-5.742774159E-2,-1.435693651E-1,9.934999466E0,9.936202720E0
3.907727690E-1,-4.546362907E-2,-1.339980662E-1,9.896714211E0,9.897725728E0
3.931585510E-1,-3.828516230E-2,-1.339980662E-1,9.872786522E0,9.873770047E0
3.955443320E-1,-3.349951655E-2,-1.387837082E-1,9.870393753E0,9.871426238E0
3.979301130E-1,-4.067798331E-2,-1.411765367E-1,9.899106979E0,9.900197195E0
4.003158940E-1,-3.828516230E-2,-1.459621787E-1,9.939785004E0,9.940930370E0
4.027016760E-1,-5.982056633E-2,-1.411765367E-1,9.980463028E0,9.981640725E0
4.050874570E-1,-5.024927482E-2,-1.555334777E-1,1.003789139E1,1.003922204E1
4.074732380E-1,-6.939185411E-2,-1.603191197E-1,1.007139015E1,1.007290509E1
4.098590190E-1,-5.503492057E-2,-1.651047617E-1,1.011446095E1,1.011595812E1
4.122448010E-1,-5.264209956E-2,-1.483550072E-1,1.012164021E1,1.012286426E1
4.146305820E-1,-4.785645381E-2,-1.459621787E-1,1.008096218E1,1.008213240E1
4.170163630E-1,-5.264209956E-2,-1.387837082E-1,1.005703354E1,1.005812884E1
4.194021440E-1,-4.785645381E-2,-1.507478207E-1,9.994820595E0,9.996071922E0
4.217879260E-1,-7.178468257E-2,-1.483550072E-1,9.934999466E0,9.936366370E0
4.241737070E-1,-7.417750359E-2,-1.363908947E-1,9.901499748E0,9.902716902E0
4.265594880E-1,-8.374879509E-2,-1.387837082E-1,9.865608215E0,9.866939760E0
4.289452690E-1,-7.178468257E-2,-1.435693651E-1,9.846465111E0,9.847773372E0
4.313310510E-1,-7.178468257E-2,-1.435693651E-1,9.846465111E0,9.847773372E0
4.337168320E-1,-6.221338734E-2,-1.507478207E-1,9.860821724E0,9.862170171E0
4.361026130E-1,-6.699903309E-2,-1.531406492E-1,9.906285286E0,9.907695448E0
4.384883940E-1,-6.221338734E-2,-1.531406492E-1,9.951749802E0,9.953122459E0
4.408741760E-1,-7.417750359E-2,-1.483550072E-1,9.992427826E0,9.993804349E0
4.432599570E-1,-8.374879509E-2,-1.579262912E-1,1.004267693E1,1.004426774E1
4.456457380E-1,-8.614161611E-2,-1.459621787E-1,1.007378292E1,1.007520857E1
4.480315190E-1,-7.657032460E-2,-1.363908947E-1,1.008574772E1,1.008696052E1
4.504172490E-1,-7.896314561E-2,-1.268195957E-1,1.006421185E1,1.006532058E1
4.528030820E-1,-9.571290761E-2,-1.435693651E-1,1.001156998E1,1.001305680E1
4.551888110E-1,-1.004985496E-1,-1.363908947E-1,9.956535339E0,9.957976622E0
4.575745920E-1,-9.571290761E-2,-1.555334777E-1,9.911071777E0,9.912754178E0
4.599603740E-1,-1.052841991E-1,-1.651047617E-1,9.877572060E0,9.879512849E0
4.623461550E-1,-1.220339537E-1,-1.674975902E-1,9.841679573E0,9.843861262E0
4.647319360E-1,-1.220339537E-1,-1.603191197E-1,9.834501266E0,9.836564932E0
4.671177170E-1,-1.172483116E-1,-1.603191197E-1,9.858428955E0,9.860429547E0
4.695034990E-1,-1.268195957E-1,-1.603191197E-1,9.899106979E0,9.901217320E0
4.718892800E-1,-1.220339537E-1,-1.794617027E-1,9.915857315E0,9.918231953E0
4.742750610E-1,-1.459621787E-1,-1.770688742E-1,9.937392235E0,9.940041387E0
4.766608420E-1,-1.483550072E-1,-1.603191197E-1,9.954142570E0,9.956538843E0
4.790466240E-1,-1.579262912E-1,-1.651047617E-1,9.982855797E0,9.985469952E0
4.814324050E-1,-1.435693651E-1,-1.698904037E-1,9.994820595E0,9.997295316E0
4.838181860E-1,-1.411765367E-1,-1.507478207E-1,9.982855797E0,9.984992017E0
4.862039670E-1,-1.459621787E-1,-1.651047617E-1,9.958928108E0,9.961366051E0
4.885897490E-1,-1.316052526E-1,-1.579262912E-1,9.923035622E0,9.925164815E0
4.909755300E-1,-1.435693651E-1,-1.459621787E-1,9.894321442E0,9.896439456E0
4.933613110E-1,-1.483550072E-1,-1.459621787E-1,9.865608215E0,9.867803181E0
4.957470920E-1,-1.507478207E-1,-1.483550072E-1,9.822537422E0,9.824814274E0
4.981328740E-1,-1.363908947E-1,-1.627119333E-1,9.793823242E0,9.796124302E0
5.005186550E-1,-1.316052526E-1,-1.627119333E-1,9.781859398E0,9.784097730E0
5.029044360E-1,-1.363908947E-1,-1.483550072E-1,9.777072906E0,9.779149570E0
5.052902170E-1,-1.459621787E-1,-1.459621787E-1,9.793823242E0,9.795998347E0
5.076759990E-1,-1.244267747E-1,-1.627119333E-1,9.805787086E0,9.807926263E0
5.100617800E-1,-1.483550072E-1,-1.746760458E-1,9.812965393E0,9.815641127E0
5.124475610E-1,-1.459621787E-1,-1.722832322E-1,9.827322960E0,9.829916736E0
5.148333420E-1,-1.459621787E-1,-1.459621787E-1,9.841679573E0,9.843844103E0
5.172191240E-1,-1.531406492E-1,-1.292124242E-1,9.868000984E0,9.870035022E0
5.196049050E-1,-1.507478207E-1,-1.363908947E-1,9.868000984E0,9.870094772E0
5.219906860E-1,-1.459621787E-1,-1.363908947E-1,9.875179291E0,9.877199677E0
5.243764670E-1,-1.363908947E-1,-1.268195957E-1,9.877572060E0,9.879327684E0
5.267621970E-1,-1.220339537E-1,-1.292124242E-1,9.875179291E0,9.876778532E0
5.291479780E-1,-1.268195957E-1,-1.292124242E-1,9.863214493E0,9.864876035E0
5.315337590E-1,-1.244267747E-1,-1.196411327E-1,9.834501266E0,9.836016022E0
5.339195400E-1,-1.004985496E-1,-1.028913707E-1,9.798608780E0,9.799664311E0
5.363053220E-1,-1.100698411E-1,-1.052841991E-1,9.767501831E0,9.768689377E0
5.386911030E-1,-1.028913707E-1,-9.571290761E-2,9.745966911E0,9.746979975E0
5.410768840E-1,-9.571290761E-2,-9.332008660E-2,9.755537987E0,9.756453813E0
5.434626650E-1,-9.810572863E-2,-1.196411327E-1,9.784252167E0,9.785475420E0
5.458484470E-1,-1.076770201E-1,-1.148554832E-1,9.844072342E0,9.845331198E0
5.482342280E-1,-9.571290761E-2,-1.172483116E-1,9.930213928E0,9.931367317E0
5.506200090E-1,-9.092725813E-2,-1.052841991E-1,1.000678444E1,1.000775136E1
5.530057900E-1,-1.124626622E-1,-9.810572863E-2,1.005942631E1,1.006053330E1
5.553915720E-1,-1.100698411E-1,-1.172483116E-1,1.009531879E1,1.009659963E1
5.577773530E-1,-1.076770201E-1,-8.614161611E-2,1.005703354E1,1.005797884E1
5.601631340E-1,-1.076770201E-1,-8.614161611E-2,1.001156998E1,1.001251957E1
5.625489150E-1,-8.853443712E-2,-9.092725813E-2,9.932606697E0,9.933417434E0
5.649346970E-1,-7.417750359E-2,-7.657032460E-2,9.853643417E0,9.854220107E0
5.673204780E-1,-6.460621208E-2,-7.657032460E-2,9.791430473E0,9.791942999E0
5.697062590E-1,-1.004985496E-1,-6.939185411E-2,9.741181374E0,9.741946917E0
5.720920400E-1,-1.076770201E-1,-6.699903309E-2,9.698110580E0,9.698939738E0
5.744778220E-1,-9.332008660E-2,-5.024927482E-2,9.688538551E0,9.689118272E0
5.768636030E-1,-1.028913707E-1,-7.417750359E-2,9.714859962E0,9.715687985E0
5.792493840E-1,-1.004985496E-1,-1.028913707E-1,9.767501831E0,9.768560724E0
5.816351650E-1,-8.374879509E-2,-9.571290761E-2,9.834501266E0,9.835323583E0
5.840209470E-1,-7.178468257E-2,-1.076770201E-1,9.906285286E0,9.907130541E0
5.864067280E-1,-7.417750359E-2,-9.810572863E-2,9.963713646E0,9.964472723E0
5.887925090E-1,-9.810572863E-2,-9.810572863E-2,1.002114105E1,1.002210145E1
5.911782380E-1,-7.657032460E-2,-9.332008660E-2,1.002592659E1,1.002665326E1
5.935640720E-1,-7.896314561E-2,-1.028913707E-1,9.987641335E0,9.988483430E0
5.959498010E-1,-7.417750359E-2,-9.332008660E-2,9.932606697E0,9.933322039E0
5.983355820E-1,-5.742774159E-2,-8.374879509E-2,9.856036186E0,9.856559294E0
6.007213630E-1,-5.503492057E-2,-7.417750359E-2,9.798608780E0,9.799044095E0
6.031071440E-1,-3.828516230E-2,-7.657032460E-2,9.772287369E0,9.772662339E0
6.054929260E-1,-5.264209956E-2,-8.853443712E-2,9.748359680E0,9.748903835E0
6.078787070E-1,-6.699903309E-2,-1.004985496E-1,9.753145218E0,9.753893093E0
6.102644880E-1,-7.417750359E-2,-1.004985496E-1,9.745966911E0,9.746767325E0
6.126502690E-1,-7.178468257E-2,-1.028913707E-1,9.734002113E0,9.734810569E0
6.150360510E-1,-5.503492057E-2,-9.571290761E-2,9.748359680E0,9.748984883E0
6.174218320E-1,-4.307080805E-2,-9.810572863E-2,9.793823242E0,9.794409300E0
6.198076130E-1,-4.546362907E-2,-1.076770201E-1,9.791430473E0,9.792128063E0
6.221933940E-1,-7.178468257E-2,-1.124626622E-1,9.877572060E0,9.878473095E0
6.245791760E-1,-5.982056633E-2,-1.124626622E-1,9.913464546E0,9.914282912E0
6.269649570E-1,-5.503492057E-2,-1.004985496E-1,9.923035622E0,9.923697131E0
6.293507380E-1,-3.828516230E-2,-1.004985496E-1,9.927821159E0,9.928403632E0
6.317365190E-1,-4.307080805E-2,-7.896314561E-2,9.870393753E0,9.870803570E0
6.341223010E-1,-3.110669367E-2,-9.571290761E-2,9.793823242E0,9.794340319E0
6.365080820E-1,-3.828516230E-2,-1.148554832E-1,9.760323524E0,9.761074369E0
6.388938630E-1,-4.546362907E-2,-9.810572863E-2,9.726823807E0,9.727424790E0
6.412796440E-1,-5.982056633E-2,-1.100698411E-1,9.707681656E0,9.708489944E0
6.436654260E-1,-6.221338734E-2,-1.148554832E-1,9.755537987E0,9.756412440E0
6.460512070E-1,-6.460621208E-2,-1.244267747E-1,9.762716293E0,9.763722928E0
6.484369880E-1,-5.264209956E-2,-1.483550072E-1,9.805787086E0,9.807050565E0
6.508227690E-1,-5.742774159E-2,-1.435693651E-1,9.812965393E0,9.814183609E0
6.532085510E-1,-8.135596663E-2,-1.483550072E-1,9.839286804E0,9.840741477E0
6.555942800E-1,-6.939185411E-2,-1.531406492E-1,9.832108498E0,9.833545891E0
6.579801130E-1,-5.264209956E-2,-1.459621787E-1,9.879964828E0,9.881183186E0
6.603658420E-1,-5.024927482E-2,-1.555334777E-1,9.908679008E0,9.910027010E0
6.627516240E-1,-7.657032460E-2,-1.674975902E-1,9.913464546E0,9.915175125E0
6.651374050E-1,-7.417750359E-2,-1.651047617E-1,9.951749802E0,9.953395702E0
6.675231860E-1,-4.067798331E-2,-1.531406492E-1,9.923035622E0,9.924300615E0
6.699089670E-1,-4.307080805E-2,-1.555334777E-1,9.868000984E0,9.869320604E0
6.722947490E-1,-5.982056633E-2,-1.387837082E-1,9.812965393E0,9.814129061E0
6.746805300E-1,-7.178468257E-2,-1.459621787E-1,9.765109062E0,9.766463689E0
6.770663110E-1,-8.853443712E-2,-1.531406492E-1,9.757930756E0,9.759533956E0
